population	model	experiment	year	tasmax	tasmin	ppt
BH	ec-earth3-veg	ssp245	2069	312.38608	277.61917	581.3461489509791
BH	ec-earth3-veg	ssp245	2070	311.69537	274.77454	939.7136685816721
BH	ec-earth3-veg	ssp370	2041	311.5606	273.56583	580.2699525811477
BH	ec-earth3-veg	ssp370	2042	312.51578	270.9733	1141.939201700727
BH	ec-earth3-veg	ssp370	2043	309.91953	277.5223	1354.5223125256339
BH	ec-earth3-veg	ssp370	2044	311.47687	275.6388	1046.4696344453598
BH	ec-earth3-veg	ssp370	2045	311.16992	272.17917	377.4156090337783
BH	ec-earth3-veg	ssp370	2046	311.22122	273.42667	610.0400899333181
BH	ec-earth3-veg	ssp370	2047	308.8825	271.90286	594.0233337285463
BH	ec-earth3-veg	ssp370	2048	309.9231	277.51886	701.6984265879704
BH	ec-earth3-veg	ssp370	2049	310.0657	274.72882	749.3922337889519
BH	ec-earth3-veg	ssp370	2050	310.7032	274.83652	816.603852482504
BH	ec-earth3-veg	ssp370	2051	310.0408	274.5278	257.9638429451734
BH	ec-earth3-veg	ssp370	2052	308.89334	277.34207	1178.3711393829237
BH	ec-earth3-veg	ssp370	2053	311.54822	276.64133	988.259456190267
BH	ec-earth3-veg	ssp370	2054	311.5879	275.12555	454.25997682032175
BH	ec-earth3-veg	ssp370	2055	310.90192	276.9887	820.2075875247829
BH	ec-earth3-veg	ssp370	2056	307.7033	273.7961	590.0277982786065
BH	ec-earth3-veg	ssp370	2057	313.06146	274.8844	370.894491719082
BH	ec-earth3-veg	ssp370	2058	310.34494	274.2475	894.3053274939302
BH	ec-earth3-veg	ssp370	2059	311.02643	272.09177	1104.685339334525
BH	ec-earth3-veg	ssp370	2060	311.3977	277.44226	1156.072513852253
BH	ec-earth3-veg	ssp370	2061	311.08575	279.20044	928.5999076062203
BH	ec-earth3-veg	ssp370	2062	312.39297	276.31802	466.27563550136983
BH	ec-earth3-veg	ssp370	2063	310.32523	277.11923	839.3796932883394
BH	ec-earth3-veg	ssp370	2064	309.58618	278.20197	855.7877498154983
BH	ec-earth3-veg	ssp370	2065	312.93967	276.36438	805.0095492973694
BH	ec-earth3-veg	ssp370	2066	310.9034	278.01227	1097.627351456292
BH	ec-earth3-veg	ssp370	2067	309.3246	277.8427	929.16409096797
BH	ec-earth3-veg	ssp370	2068	312.06848	277.43277	733.7509374454245
BH	ec-earth3-veg	ssp370	2069	311.9664	276.7404	560.1184504281083
BH	ec-earth3-veg	ssp370	2070	314.16974	276.93893	313.01588164642453
BH	miroc6	ssp245	2041	311.38812	274.43475	479.01120657334104
BH	miroc6	ssp245	2042	308.70328	278.3144	1177.6576534495612
BH	miroc6	ssp245	2043	309.90115	276.29492	848.5629535512999
BH	miroc6	ssp245	2044	309.04535	276.04254	872.9782273527082
BH	miroc6	ssp245	2045	313.0219	275.0994	196.04206288349815
BH	miroc6	ssp245	2046	312.0154	274.42416	482.12999647075776
BH	miroc6	ssp245	2047	310.09836	277.20966	517.2546362970024
BH	miroc6	ssp245	2048	308.89496	276.45105	1171.9849718618186
BH	miroc6	ssp245	2049	308.49384	274.8741	860.785853897678
BH	miroc6	ssp245	2050	312.49643	273.6917	314.7447105271567
BH	miroc6	ssp245	2051	312.41562	275.7083	282.0830033859238
BH	miroc6	ssp245	2052	311.1103	276.36215	957.3220730759203
BH	miroc6	ssp245	2053	310.63837	276.96396	591.896575782448
BH	miroc6	ssp245	2054	310.04306	276.48718	675.9935940499417
BH	miroc6	ssp245	2055	312.91702	277.24777	553.6592555232346
BH	miroc6	ssp245	2056	310.54877	274.87775	641.3905959168915
BH	miroc6	ssp245	2057	311.18616	275.82852	739.1741578001529
BH	miroc6	ssp245	2058	309.69525	275.59283	766.7557538836011
BH	miroc6	ssp245	2059	310.5919	276.34344	674.0451595745981
BH	miroc6	ssp245	2060	308.05426	277.4874	1843.6453572939886
BH	miroc6	ssp245	2061	309.76938	274.66187	189.0458552632481
BH	miroc6	ssp245	2062	313.5526	274.44128	378.17620576824993
BH	miroc6	ssp245	2063	314.02524	273.34317	342.8425143356435
BH	miroc6	ssp245	2064	314.6267	277.1721	366.92833659471944
BH	miroc6	ssp245	2065	312.9552	276.5332	687.6525377388807
BH	miroc6	ssp245	2066	310.17328	276.78317	699.4638827367453
BH	miroc6	ssp245	2067	313.8858	274.6269	276.7623051535338
BH	miroc6	ssp245	2068	314.10828	274.25336	410.9033501590602
BH	miroc6	ssp245	2069	315.95316	275.07828	585.8899735525483
BH	miroc6	ssp245	2070	315.6132	276.07907	288.7671502365265
BH	miroc6	ssp370	2041	314.75366	274.1852	330.4812503512949
BH	miroc6	ssp370	2042	311.7074	276.47958	644.2005857359618
BH	miroc6	ssp370	2043	312.2365	275.67596	270.11501429078635
BH	miroc6	ssp370	2044	313.72995	272.01163	337.532271296368
BH	miroc6	ssp370	2045	312.57297	277.6292	636.2256475374816
BH	miroc6	ssp370	2046	310.7604	277.24017	665.4814814217302
BH	miroc6	ssp370	2047	311.36157	275.85733	467.02297007430525
BH	miroc6	ssp370	2048	310.55072	276.97098	603.9244462415561
BH	miroc6	ssp370	2049	312.515	276.9924	491.3703705766238
BH	miroc6	ssp370	2050	311.16974	276.1838	637.9642925370717
BH	miroc6	ssp370	2051	309.94885	275.5191	869.6197835204657
BH	miroc6	ssp370	2052	309.12656	277.66736	812.2761564329267
BH	miroc6	ssp370	2053	311.62442	276.1518	722.4575227126479
BH	miroc6	ssp370	2054	314.4446	277.20114	647.8779791621404
BH	miroc6	ssp370	2055	310.0918	276.34692	1147.5453530059885
BH	miroc6	ssp370	2056	309.65787	277.70844	939.350073016225
BH	miroc6	ssp370	2057	310.24152	276.04105	732.2450123727091
BH	miroc6	ssp370	2058	314.60843	274.85132	432.52083939732984
BH	miroc6	ssp370	2059	315.5599	273.09567	550.9095130953938
BH	miroc6	ssp370	2060	312.14948	276.39908	514.8302661487833
BH	miroc6	ssp370	2061	310.61948	277.5003	778.7982502661059
BH	miroc6	ssp370	2062	313.7893	276.69995	240.59680528007448
BH	miroc6	ssp370	2063	313.71213	274.30472	775.8890889119357
BH	miroc6	ssp370	2064	313.0435	275.21613	1047.636147681597
BH	miroc6	ssp370	2065	309.61575	275.4999	750.6878507556219
BH	miroc6	ssp370	2066	314.16757	275.86453	328.0187562428182
BH	miroc6	ssp370	2067	314.71146	275.53348	350.7374539738521
BH	miroc6	ssp370	2068	313.72342	273.99295	583.976217918098
BH	miroc6	ssp370	2069	313.01178	277.18234	696.664856839925
BH	miroc6	ssp370	2070	312.68143	276.9971	415.2094598743133
BH	mpi-esm1-2-hr	ssp245	2041	307.2923	274.6125	818.2726776693016
BH	mpi-esm1-2-hr	ssp245	2042	308.99118	273.35358	746.26758957746
