id	cvar	period	gcm	scenario	spag	dt	val
BH	tasmax	year	CanESM2	rcp45	none	2068-12-31	298.3063354492
BH	tasmax	year	CanESM2	rcp45	none	2069-12-31	298.4616699219
BH	tasmax	year	CanESM2	rcp45	none	2070-12-31	298.4710693359
BH	tasmax	year	CanESM2	rcp45	none	2071-12-31	298.8111877441
BH	tasmax	year	CanESM2	rcp45	none	2072-12-31	298.671295166
BH	tasmax	year	CanESM2	rcp45	none	2073-12-31	298.2211914062
BH	tasmax	year	CanESM2	rcp45	none	2074-12-31	299.3280334473
BH	tasmax	year	CanESM2	rcp45	none	2075-12-31	298.6786804199
BH	tasmax	year	CanESM2	rcp45	none	2076-12-31	298.7520446777
BH	tasmax	year	CanESM2	rcp45	none	2077-12-31	298.4721984863
BH	tasmax	year	CanESM2	rcp45	none	2078-12-31	298.551574707
BH	tasmax	year	CanESM2	rcp45	none	2079-12-31	298.7507324219
BH	tasmax	year	CanESM2	rcp45	none	2080-12-31	298.9719848633
BH	tasmin	year	CanESM2	rcp45	none	2040-12-31	281.7496643066
BH	tasmin	year	CanESM2	rcp45	none	2041-12-31	282.3548583984
BH	tasmin	year	CanESM2	rcp45	none	2042-12-31	281.2235717773
BH	tasmin	year	CanESM2	rcp45	none	2043-12-31	282.0508422852
BH	tasmin	year	CanESM2	rcp45	none	2044-12-31	281.3121948242
BH	tasmin	year	CanESM2	rcp45	none	2045-12-31	282.7231750488
BH	tasmin	year	CanESM2	rcp45	none	2046-12-31	283.041015625
BH	tasmin	year	CanESM2	rcp45	none	2047-12-31	282.6747131348
BH	tasmin	year	CanESM2	rcp45	none	2048-12-31	283.0329284668
BH	tasmin	year	CanESM2	rcp45	none	2049-12-31	282.1397399902
BH	tasmin	year	CanESM2	rcp45	none	2050-12-31	282.9512939453
BH	tasmin	year	CanESM2	rcp45	none	2051-12-31	282.3253173828
BH	tasmin	year	CanESM2	rcp45	none	2052-12-31	281.6859741211
BH	tasmin	year	CanESM2	rcp45	none	2053-12-31	282.8799743652
BH	tasmin	year	CanESM2	rcp45	none	2054-12-31	282.2653198242
