population	year	tasmax	tasmin	ppt
IH	2002	307.8790000915527	273.8390000104904	1066.8599891662598
IH	2003	309.0920013427734	275.30300011634824	1026.9689977169037
IH	2004	306.923998260498	274.91900005340574	968.0299880295061
IH	2005	308.55399932861326	275.3939999580383	1512.340015411377
IH	2006	308.7450012207031	274.30499997138975	1231.1550035476685
IH	2007	306.49099960327146	272.7950000107288	800.3519835472107
IH	2008	307.0030006408691	273.9230000019073	688.33599853515625
IH	2009	307.093000793457	274.7949999809265	903.8259854316711
IH	2010	306.525	277.08600010871885	1477.5450032651424
LV1	1981	296.3120006561279	266.0319999694824	3630.205033160746
LV1	1982	293.5959991455078	263.35800018310545	3494.9549436569214
LV1	1983	292.60999908447263	265.7420000076294	5082.0020542144775
LV1	1984	294.9709991455078	264.01699962615965	2255.762010574341
LV1	1985	294.27299919128416	263.65	1440.2490048408508
LV1	1986	294.67199935913084	266.7029999732971	2906.8359603881836
LV1	1987	295.468000793457	263.5599998474121	2417.4000494480133
LV1	1988	296.3990005493164	264.60899963378904	1963.970001591253
LV1	1989	294.11199989318845	262.2100004196167	2292.9840240478516
LV1	1990	295.661999130249	261.97999992370603	1505.5539779663086
LV1	1991	295.0119995117187	263.1290000915527	1901.145966053009
LV1	1992	295.76100006103513	264.1580003738403	2322.079979326343
LV1	1993	292.57300033569334	262.64100017547605	3106.066979467869
LV1	1994	296.2229999542236	263.5639995574951	1395.3459997177124
LV1	1995	294.0909999847412	265.5139998435974	3759.9919843673706
LV1	1996	296.0989994049072	266.04900016784666	4180.948932647705
LV1	1997	294.64099922180174	266.2899998664856	2855.3849964141846
LV1	1998	296.5639995574951	264.2570003509521	4197.2620277404785
LV1	1999	294.31900062561033	264.42700042724607	2304.3470280449837
LV1	2000	295.4629997253418	265.8260001182556	2260.050947189331
LV1	2001	296.0879997253418	264.60699977874754	2669.6510286331177
LV1	2002	296.76700057983396	264.8449996948242	2811.2509384155273
LV1	2003	296.6569999694824	266.2670001029968	2505.5999815980904
LV1	2004	294.63600006103513	265.4659999847412	1985.778972029686
LV1	2005	296.653999710083	266.80100002288816	3515.8390140533447
LV1	2006	296.5019992828369	263.0619997024536	2827.486017227173
LV1	2007	296.032999420166	265.4479998588562	1518.271032333374
LV1	2008	295.8740009307861	264.7730001449585	1918.0290197432041
LV1	2009	295.83400001525877	265.708000087738	2298.9719858169556
LV1	2010	296.3099998474121	266.7060002326965	3532.841961622238
LV3	1981	297.34700050354	265.56599988937376	2463.713988006115
LV3	1982	294.67000045776365	263.689999961853	2318.97101688385
LV3	1983	293.718000793457	266.2709998130798	3276.582989692688
LV3	1984	296.42099990844724	263.92999973297117	1491.3169870376587
LV3	1985	295.57399978637693	264.01699962615965	996.6089899539948
LV3	1986	295.83499946594236	266.5339998245239	1771.8969846367836
LV3	1987	296.72900047302244	263.2140001296997	1461.9129987955093
