id,cvar,gcm,mean_val
YO11,tasmax,MIROC5,282.5004189231127
YO11,tasmin,CNRM-CM5,266.39174582741816
YO11,tasmin,CanESM2,266.42868152966
YO11,tasmin,HadGEM2-ES,266.4259710138473
YO11,tasmin,MIROC5,266.42071921608726
YO4,pr,CNRM-CM5,3.318013090909091e-5
YO4,pr,CanESM2,3.2781e-5
YO4,pr,HadGEM2-ES,3.317963090909091e-5
YO4,pr,MIROC5,3.2974825454545455e-5
YO4,tasmax,CNRM-CM5,288.26179088245635
YO4,tasmax,CanESM2,288.2890108975509
YO4,tasmax,HadGEM2-ES,288.29518266157817
YO4,tasmax,MIROC5,288.3079983797927
YO4,tasmin,CNRM-CM5,273.17063154740543
YO4,tasmin,CanESM2,273.1890769264927
YO4,tasmin,HadGEM2-ES,273.1948530717309
YO4,tasmin,MIROC5,273.18188532048543
YO7,pr,CNRM-CM5,3.8577572727272726e-5
YO7,pr,CanESM2,3.8122221818181816e-5
YO7,pr,HadGEM2-ES,3.856485272727273e-5
YO7,pr,MIROC5,3.834787818181818e-5
YO7,tasmax,CNRM-CM5,286.5114912553327
YO7,tasmax,CanESM2,286.54078480113634
YO7,tasmax,HadGEM2-ES,286.54455122514184
YO7,tasmax,MIROC5,286.56206165660365
YO7,tasmin,CNRM-CM5,270.6692754572091
YO7,tasmin,CanESM2,270.69003961736547
YO7,tasmin,HadGEM2-ES,270.69849576083635
YO7,tasmin,MIROC5,270.6846158114327
YO8,pr,CNRM-CM5,4.202748909090909e-5
YO8,pr,CanESM2,4.1562943636363635e-5
YO8,pr,HadGEM2-ES,4.199251818181818e-5
YO8,pr,MIROC5,4.178262727272727e-5
YO8,tasmax,CNRM-CM5,283.93091208718363
YO8,tasmax,CanESM2,283.9613320090564
YO8,tasmax,HadGEM2-ES,283.96488370028
YO8,tasmax,MIROC5,283.9819269353727
YO8,tasmin,CNRM-CM5,268.3242453835182
YO8,tasmin,CanESM2,268.34788596413637
YO8,tasmin,HadGEM2-ES,268.35484397194546
YO8,tasmin,MIROC5,268.34187954989454
