population	model	scenario	offset	Elevation	Lat	Long
LV1	mpi-esm1-2-hr	ssp370	1.616336527249324	2593.416641	40.47471	-121.50486
LV3	mpi-esm1-2-hr	ssp370	1.6379022245328245	2353.550747	40.47917	-121.52311
LVTR1	mpi-esm1-2-hr	ssp370	1.6794234079264225	2741.38982	40.47917	-121.5032
SC	mpi-esm1-2-hr	ssp370	2.4638902726744716	421.5178299	38.41167	-120.73583000000001
SQ1	mpi-esm1-2-hr	ssp370	0.9737530854018953	1921.036585	36.56435	-118.7764
SQ2	mpi-esm1-2-hr	ssp370	0.718361495309593	1934.45122	36.66557	-118.83543
SQ3	mpi-esm1-2-hr	ssp370	0.44266942407651044	2373.170732	36.72109	-118.84933
TM2	mpi-esm1-2-hr	ssp370	2.544043648756917	379.1526973	39.59255	-121.55072
WL1	mpi-esm1-2-hr	ssp370	1.5912897038569405	1613.837245	38.78608	-120.2143
WL2	mpi-esm1-2-hr	ssp370	1.9953051917024793	2020.115818	38.8263	-120.25242
WR	mpi-esm1-2-hr	ssp370	1.7231890291315213	1158	39.34346	-120.80659
YO11	mpi-esm1-2-hr	ssp370	0.3089850687170729	2872.295032	37.93844	-119.23157
YO4	mpi-esm1-2-hr	ssp370	2.3465107212082716	2157.57391	37.76378	-119.77244
YO7	mpi-esm1-2-hr	ssp370	1.6733343857668836	2469.978665	37.80903	-119.56605
YO8	mpi-esm1-2-hr	ssp370	0.9327757723263874	2590.97836	37.81117	-119.48624
BH	mri-esm2-0	ssp245	0.42501205067889836	511.4294422	37.40985	-119.96458
CC	mri-esm2-0	ssp245	0.31725675777293344	313	39.58597	-121.43311
CP2	mri-esm2-0	ssp245	1.196567896047783	2244.132886	38.66169	-120.13065
CP3	mri-esm2-0	ssp245	1.2417204273763291	2266.382201	38.70649	-120.08797
DPR	mri-esm2-0	ssp245	1.1197005861447313	1018.591893	39.22846	-120.81518
FR	mri-esm2-0	ssp245	1.3232580515927956	787	40.01362	-121.18498
IH	mri-esm2-0	ssp245	0.9215911628221963	454.1298385	39.09332	-120.92114
LV1	mri-esm2-0	ssp245	0.30083279727730716	2593.416641	40.47471	-121.50486
LV3	mri-esm2-0	ssp245	0.24805734116662811	2353.550747	40.47917	-121.52311
LVTR1	mri-esm2-0	ssp245	0.656055264080666	2741.38982	40.47917	-121.5032
SC	mri-esm2-0	ssp245	0.7044824935973321	421.5178299	38.41167	-120.73583000000001
SQ1	mri-esm2-0	ssp245	1.3792552850370847	1921.036585	36.56435	-118.7764
SQ2	mri-esm2-0	ssp245	2.0697201040087463	1934.45122	36.66557	-118.83543
SQ3	mri-esm2-0	ssp245	1.7538722699201852	2373.170732	36.72109	-118.84933
TM2	mri-esm2-0	ssp245	0.42726618152994117	379.1526973	39.59255	-121.55072
WL1	mri-esm2-0	ssp245	1.4659991494484612	1613.837245	38.78608	-120.2143
WL2	mri-esm2-0	ssp245	1.802832642662238	2020.115818	38.8263	-120.25242
WR	mri-esm2-0	ssp245	0.7243643090551479	1158	39.34346	-120.80659
YO11	mri-esm2-0	ssp245	1.624725741382478	2872.295032	37.93844	-119.23157
YO4	mri-esm2-0	ssp245	1.5046679185712941	2157.57391	37.76378	-119.77244
YO7	mri-esm2-0	ssp245	1.9957105411555287	2469.978665	37.80903	-119.56605
YO8	mri-esm2-0	ssp245	1.4479801958024296	2590.97836	37.81117	-119.48624
BH	mri-esm2-0	ssp370	2.1951109813858722	511.4294422	37.40985	-119.96458
CC	mri-esm2-0	ssp370	2.0796480130976223	313	39.58597	-121.43311
CP2	mri-esm2-0	ssp370	0.5349799159297741	2244.132886	38.66169	-120.13065
CP3	mri-esm2-0	ssp370	0.3351979518622798	2266.382201	38.70649	-120.08797
DPR	mri-esm2-0	ssp370	2.0156884795365997	1018.591893	39.22846	-120.81518
FR	mri-esm2-0	ssp370	1.293008598549027	787	40.01362	-121.18498
IH	mri-esm2-0	ssp370	2.4286077101542736	454.1298385	39.09332	-120.92114
LV1	mri-esm2-0	ssp370	2.6513172095067303	2593.416641	40.47471	-121.50486
LV3	mri-esm2-0	ssp370	2.6773362206584386	2353.550747	40.47917	-121.52311
LVTR1	mri-esm2-0	ssp370	2.6624446438770004	2741.38982	40.47917	-121.5032
SC	mri-esm2-0	ssp370	2.2213562552330832	421.5178299	38.41167	-120.73583000000001
SQ1	mri-esm2-0	ssp370	0.9705778217519773	1921.036585	36.56435	-118.7764
SQ2	mri-esm2-0	ssp370	1.078347868422943	1934.45122	36.66557	-118.83543
SQ3	mri-esm2-0	ssp370	0.7889104428711514	2373.170732	36.72109	-118.84933
TM2	mri-esm2-0	ssp370	2.4218199867116486	379.1526973	39.59255	-121.55072
WL1	mri-esm2-0	ssp370	0.6434852359332316	1613.837245	38.78608	-120.2143
WL2	mri-esm2-0	ssp370	1.3349922489507948	2020.115818	38.8263	-120.25242
WR	mri-esm2-0	ssp370	1.597407804760164	1158	39.34346	-120.80659
YO11	mri-esm2-0	ssp370	1.596894211616136	2872.295032	37.93844	-119.23157
